Primary_Record,DESIGN: Observer/Arena Type,DESIGN: Treatment,Run,Study date,Site,Arena,Observer,Treatment,BrChrAd 1,BrChrAd 2,BrChrAd 3,BrChrAd 4,BrChrAd 5,BrChrAd 6,BrChrJu 1,BrChrJu 2,BrChrJu 3,BrChrJu 4,BrChrJu 5,BrChrJu 6,BlChr 1,BlChr 2,BlChr 3,BlChr 4,BlChr 5,BlChr 6,Boga 1,Boga 2,Boga 3,Boga 4,Boga 5,Boga 6,FourBu 1,FourBu 2,FourBu 3,FourBu 4,FourBu 5,FourBu 6,BandBu 1,BandBu 2,BandBu 3,BandBu 4,BandBu 5,BandBu 6,OcSurg 1,OcSurg 2,OcSurg 3,OcSurg 4,OcSurg 5,OcSurg 6,BlTang 1,BlTang 2,BlTang 3,BlTang 4,BlTang 5,BlTang 6,SharpPuf 1,SharpPuf 2,SharpPuf 3,SharpPuf 4,SharpPuf 5,SharpPuf 6,StopPar 1,StopPar 2,StopPar 3,StopPar 4,StopPar 5,StopPar 6,PrinPar 1,PrinPar 2,PrinPar 3,PrinPar 4,PrinPar 5,PrinPar 6,StriPar 1,StriPar 2,StriPar 3,StriPar 4,StriPar 5,StriPar 6,RedBPar 1,RedBPar 2,RedBPar 3,RedBPar 4,RedBPar 5,RedBPar 6,RedFTPar 1,RedFTPar 2,RedFTPar 3,RedFTPar 4,RedFTPar 5,RedFTPar 6,YelHWra 1,YelHWra 2,YelHWra 3,YelHWra 4,YelHWra 5,YelHWra 6,BluHWra 1,BluHWra 2,BluHWra 3,BluHWra 4,BluHWra 5,BluHWra 6,CreWra 1,CreWra 2,CreWra 3,CreWra 4,CreWra 5,CreWra 6,ClowWra 1,ClowWra 2,ClowWra 3,ClowWra 4,ClowWra 5,ClowWra 6,FrenGrun 1,FrenGrun 2,FrenGrun 3,FrenGrun 4,FrenGrun 5,FrenGrun 6,YelTSnap 1,YelTSnap 2,YelTSnap 3,YelTSnap 4,YelTSnap 5,YelTSnap 6,MahoSnap 1,MahoSnap 2,MahoSnap 3,MahoSnap 4,MahoSnap 5,MahoSnap 6,School 1,School 2,School 3,School 4,School 5,School 6,YelGoat 1,YelGoat 2,YelGoat 3,YelGoat 4,YelGoat 5,YelGoat 6,Clupeid 1,Clupeid 2,Clupeid 3,Clupeid 4,Clupeid 5,Clupeid 6,SpotDrum 1,SpotDrum 2,SpotDrum 3,SpotDrum 4,SpotDrum 5,SpotDrum 6,BarJack 1,BarJack 2,BarJack 3,BarJack 4,BarJack 5,BarJack 6,Trumpet 1,Trumpet 2,Trumpet 3,Trumpet 4,Trumpet 5,Trumpet 6,HComCow 1,HComCow 2,HComCow 3,HComCow 4,HComCow 5,HComCow 6,YelMGroup 1,YelMGroup 2,YelMGroup 3,YelMGroup 4,YelMGroup 5,YelMGroup 6,OrSpFile 1,OrSpFile 2,OrSpFile 3,OrSpFile 4,OrSpFile 5,OrSpFile 6
1,2,1,1,30-Jun-11,1,1,Aaron,Contr,62,22,157,77,10,300,9999,9999,9999,9999,9999,9999,7,13,8,41,300,71,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,1,3,1,1,1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,6,6,4,3,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,17,9,3,5,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
2,3,1,1,30-Jun-11,1,3,Dick,Contr,30,25,5,14,30,20,9999,9999,9999,9999,9999,9999,30,6,30,25,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,30-Jun-11,1,2,Pedro,Contr,26,0,44,11,15,80,9999,9999,9999,9999,9999,9999,39,14,11,42,20,31,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,1,1,2,4,2,3,0,0,0,0,0,1,0,1,1,0,0,0,2,3,1,0,2,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,0,0,0,0,2,2,3,1,2,1,0,2,0,0,0,0,0,1,2,1,9,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,4,5,3,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1,2,30-Jun-11,2,1,Aaron,Contr,450,9,220,130,77,27,9999,9999,9999,9999,9999,9999,20,23,7,29,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,3,5,3,3,2,2,0,1,2,1,1,0,0,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,3,2,0,0,7,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,1,2,30-Jun-11,2,3,Dick,Contr,225,40,40,30,70,50,9999,9999,9999,9999,9999,9999,40,80,40,60,30,40,4,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,2,30-Jun-11,2,2,Pedro,Contr,256,169,33,85,196,107,9999,9999,9999,9999,9999,9999,9,135,70,8,2,4,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,3,4,2,0,2,2,2,2,3,0,0,0,0,0,0,1,1,2,1,0,2,2,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,2,2,3,01-Jul-11,1,3,Aaron,DMSP,38,23,27,72,44,147,9999,9999,9999,9999,9999,9999,0,3,5,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,2,0,3,3,2,0,1,2,2,0,0,0,0,0,0,3,1,1,1,2,1,1,2,1,1,0,3,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,2,0,1,2,0,2,0,10,0,70,827,807,0,0,800,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8,999,2,3,01-Jul-11,1,1,Dick,DMSP,120,70,6,30,50,3,9999,9999,9999,9999,9999,9999,6,0,20,10,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,2,3,01-Jul-11,1,2,Pedro,DMSP,27,22,24,42,10,48,9999,9999,9999,9999,9999,9999,22,8,11,28,17,12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,2,1,2,1,1,1,3,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,1,3,1,0,3,1,0,1,3,3,0,3,36,0,4,0,19,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,7,3,0,0,0,0,0,50,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,3,4,01-Jul-11,2,3,Aaron,Bet,0,0,14,157,0,0,1000,1000,1000,1000,1000,1000,23,24,22,37,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,3,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,1,17,1,2,2,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,2,9,2,72,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,3,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
