Record,DESIGN: Observer/Arena Type,DESIGN: Treatment,Run,Study date,Site,Arena,Observer,Treatment,ReefBu 1,ReefBu 2,ReefBu 3,ReefBu 4,ReefBu 5,ReefBu 6,SerMaj 1,SerMaj 2,SerMaj 3,SerMaj 4,SerMaj 5,SerMaj 6,HarBass 1,HarBass 2,HarBass 3,HarBass 4,HarBass 5,HarBass 6,Lion 1,Lion 2,Lion 3,Lion 4,Lion 5,Lion 6,QuePar 1,QuePar 2,QuePar 3,QuePar 4,QuePar 5,QuePar 6,SpanHog 1,SpanHog 2,SpanHog 3,SpanHog 4,SpanHog 5,SpanHog 6,BluGrun 1,BluGrun 2,BluGrun 3,BluGrun 4,BluGrun 5,BluGrun 6,SmaMGrun 1,SmaMGrun 2,SmaMGrun 3,SmaMGrun 4,SmaMGrun 5,SmaMGrun 6,SpotGoat 1,SpotGoat 2,SpotGoat 3,SpotGoat 4,SpotGoat 5,SpotGoat 6,KingMac 1,KingMac 2,KingMac 3,KingMac 4,KingMac 5,KingMac 6,Pork 1,Pork 2,Pork 3,Pork 4,Pork 5,Pork 6,SpanGrun 1,SpanGrun 2,SpanGrun 3,SpanGrun 4,SpanGrun 5,SpanGrun 6,SpotFBu 1,SpotFBu 2,SpotFBu 3,SpotFBu 4,SpotFBu 5,SpotFBu 6,SpotTrun 1,SpotTrun 2,SpotTrun 3,SpotTrun 4,SpotTrun 5,SpotTrun 6,UnknowWra 1,UnknowWra 2,UnknowWra 3,UnknowWra 4,UnknowWra 5,UnknowWra 6,WhiteSpFile 1,WhiteSpFile 2,WhiteSpFile 3,WhiteSpFile 4,WhiteSpFile 5,WhiteSpFile 6,PeaFlound 1,PeaFlound 2,PeaFlound 3,PeaFlound 4,PeaFlound 5,PeaFlound 6,YelFMoj 1,YelFMoj 2,YelFMoj 3,YelFMoj 4,YelFMoj 5,YelFMoj 6,Porcupine 1,Porcupine 2,Porcupine 3,Porcupine 4,Porcupine 5,Porcupine 6,UnknoJack 1,UnknoJack 2,UnknoJack 3,UnknoJack 4,UnknoJack 5,UnknoJack 6,Cero 1,Cero 2,Cero 3,Cero 4,Cero 5,Cero 6,FrenAng 1,FrenAng 2,FrenAng 3,FrenAng 4,FrenAng 5,FrenAng 6,QuenAng 1,QuenAng 2,QuenAng 3,QuenAng 4,QuenAng 5,QuenAng 6,GrayAng 1,GrayAng 2,GrayAng 3,GrayAng 4,GrayAng 5,GrayAng 6,Lizard 1,Lizard 2,Lizard 3,Lizard 4,Lizard 5,Lizard 6,SmooTrun 1,SmooTrun 2,SmooTrun 3,SmooTrun 4,SmooTrun 5,SmooTrun 6,ButtHam 1,ButtHam 2,ButtHam 3,ButtHam 4,ButtHam 5,ButtHam 6,YelHam 1,YelHam 2,YelHam 3,YelHam 4,YelHam 5,YelHam 6,Doctor 1,Doctor 2,Doctor 3,Doctor 4,Doctor 5,Doctor 6
1,2,1,1,30-Jun-11,1,1,Aaron,Contr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,3,1,1,30-Jun-11,1,3,Dick,Contr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,30-Jun-11,1,2,Pedro,Contr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2,1,2,30-Jun-11,2,1,Aaron,Contr,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,1,2,30-Jun-11,2,3,Dick,Contr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,2,30-Jun-11,2,2,Pedro,Contr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,2,3,01-Jul-11,1,3,Aaron,DMSP,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,999,2,3,01-Jul-11,1,1,Dick,DMSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,2,3,01-Jul-11,1,2,Pedro,DMSP,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,2,3,4,01-Jul-11,2,3,Aaron,Bet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
